NombrePlaylist,genero
Rock Español,rock_español
Rock Billboard,rock_ingles
ska,ska
Reggae Roots,reggae_roots
Reggaeton Para Perrear Hasta El Suelo ,reggaeton
Classical Essentials,clasica
Jazz Collection,jazz
Blues Masters: Anthology 1960-2023,blues
Body + Soul: Collection,soul
Pop Collection,pop
Radio Tiempo ,pop_latino
Country Collection ,country
The Midnight Funk Collection,funk
EDM ,EDM
Hip Hop 90's & 2000's - Classics,HIP-HOP
Ranchenatos ,Ranchenato
Salsas Variadas (Clasicas),Salsa
R&B,R&B
INDIE,Indie
FUNK BRASIL 2023 ,Funk_br
